headings,paras,label
अक्सफोर्डलाई चन्द्रशमशेरको उपहार !,नेपालका तत्कालीन प्रधानमन्त्री चन्द्रशमशेरलाई बेलायतको अक्सफोर्ड युनिभर्सिटीले मानार्थ डिग्री दिने भएपछि उनी बेलायत आउँदा के उपहार ल्याउने भन्ने द्विविधामा परे । उपहार दिनेबारे छलफल हुँदाहुँदै बनारसका एक जनाले आफ्नो पुस्तकालय नै बिक्री गर्न खोजेको चन्द्रशमशेरले चाल पाए । ,entertainment
"पिपिएलमा लागि १९७ खेलाडी सूचीकृत, मुल्य अधिक्तम् २ लाख ५० हजार रुपैयाँ",आगामी कात्तिक ९ देखि २० गतेसम्म पोखरामा हुने पोखरा प्रिमियर लिग (पिपिएल) टी–२० क्रिकेट प्रतियोगितामा सहभागिता जनाउन १७९ खेलाडीले नाम दर्ता गराएका छन् । ,sports
चीनले माग्यो आकर्षक विद्युत् आयोजना,चीनले ठूला जलविद्युत् आयोजना र प्रसारण लाइन बनाइदिने भन्दै सरकारसँग प्रस्ताव माग गरेको छ । प्रधानमन्त्री केपी शर्मा ओलीको चीन भ्रमणको क्रममा सम्झौताका लागि भन्दै चीनले सरकारसँग ठूला र आकर्षक जलविद्युत् र प्रसारण लाइन आयोजनाको सूची मागेको हो । प्रधानमन्त्री ओलीले सम्भवत: असार पहिलो साता चीन भ्रमण गर्दै छन् ।,business
रोनाल्डोको रफ्तार फेरि उस्तै,"सिजनको सुरुआतमा क्रिस्टयानो रोनाल्डोको गोल मेसिन खिया लागेजस्तै थियो । सुस्त, निक्कै सुस्त थियो । उनी पहिलाजस्तै प्रभावशाली थिएनन् । स्पेनी महारथी रियल म्याड्रिडका यी सुपरस्टार सिजनको दोस्रो हाफमा भने निक्कै आक्रमक भएर आएका छन् ।",sports
"कर्णालीको प्रेम, इटलीको वियोग",विवाहसम्बन्धी कर्णालीमा एउटा पुरानो प्रथा अझै चल्तीमा छ । जन्मिनुअघि गर्भमै विवाह छिन्ने प्रथा । यही प्रथालाई प्रेम कथाको केन्द्रमा राखेर कर्णालीकै रंगकर्मीले तयार पारेको नाटक ‘गर्भचित्त’ लगायतका नाटक मञ्चन गर्दै आइतबार नेपाल अन्तर्राष्ट्रिय नाट्य महोत्सवको बिट मारिएको छ ।,entertainment
रसुवागढी र साञ्जेनको साधारण शेयरमा छ गुणा बढी आवेदन,रसुवागढी र साञ्जेन जलविद्युत् आयोजनाको सीमित साधारण शेयर (आइपिओ)मा छ गुणा बढी आवेदन परेको छ । कम्पनीले गत फागुन ११ देखि ३० गतेसम्म सीमित आइपिओ बिक्री गरेको थियो ।,business
आर्मीले जित्यो सिमरा गोल्डकप,त्रिभुवन आर्मी क्लबले रुस्लान नवौं सिमरा गोल्डकप फुटबलको उपाधि उचालेको छ । सिमरा रंगशालामा शनिबार फाइनल थ्रीस्टार क्लबलाई २–० ले पराजित गर्दै आर्मीले दोस्रोपल्ट सिमरा गोल्डकप जितेको हो । २०७१ सालमा छैंटौं संस्करण च्याम्पियन आर्मीले ५ लाख रुपैयाँ पुरस्कार जितेको छ । ,sports
सेयरमा उत्साह जागेन,बैंकिङ र पुँजी बजारको अध्ययन गरी समस्या समाधानको उपाय सुझाउन गठित कार्यदलले प्रतिवेदन बुझाए पनि सेयर बजारमा उत्साह देखिएन ।,business
कस्तुरी र बासमती धानमा राम्रो परिणाम,प्रांगारिक मल प्रयोग गर्दा कस्तुरी र बासमती धानको राम्रो उत्पादन भएको छ । यी दुई जातको धानबालीमा गरिएको प्रयोगले यो परिणाम देखाएको हो । ,business
सम्झनाले जितिन् मिसेस स्टेट १ को ताज,वुमन वर्थ ग्रुप धरानमा आयोजना गरेको प्रथम मिसेस स्टेट १ को उपाधि सुनसरीको भरौल बस्ने सम्झना विकले जितेकी छिन् ।,entertainment
फेरि खास म्यानचेस्टर,"ओले गनर सोल्सायरको नाम म्यानचेस्टर युनाइटेडको त्यो इतिहाससँग जोडिन्छ, जसमा क्लबले हात पारेका प्रख्यात जित छन् । ती जित युरोपेली फुटबलका हुन् । अन्तिम समयमा प्राप्त जितहरू हुन् ती । उनी अहिले म्यानचेस्टरका व्यवस्थापक छन् । उनकै नेतृत्वमा क्लबले हालै अर्को यस्तै अद्वितीय जित निकालेको छ, पेरिस सेन्ट जर्मेन (पीएसजी) विरुद्ध ।",sports
संगमले सम्झ्यो मल्ल र भण्डारीलाई,रंगमञ्चमा योगदान पुर्‍याउँदै आएका दुई स्रष्टा शनिबार हेटौंडामा सम्मानित भए । नाटककार तथा कवि गोपालप्रसाद रिमालको जन्मतिथिको सन्दर्भ पारेर साहित्य संगम मकवानपुरले रंगकर्मी अशेष मल्ललाई २० हजार रुर्पयाँसहित गोपालप्रसाद रिमाल स्मृति सम्मान र अर्का रंगकर्मी उज्वल भण्डारीलाई १० हजार रुपैयाँसहित शान्तिदेवी स्मृति वनस्खण्डी सम्मान–२०७४ दिएको हो ।,entertainment
कलाकार बाढीपीडितसँगै,झापाका बाढीपीडितहरू आफ्नै गाउँघरबाट राष्ट्रियस्तरमा छाएका कलाकारहरूबाट राहत सामग्री पाउँदा खुसी देखिन थालेका छन् । ,entertainment
"१८ औं एसियाली खेलकुद : ब्याडमिन्टनमा जित, तेक्वान्दो र उसु आसमै",१८ औं एसियाली खेलकुदको पहिलो स्वर्णपदक चीनका उसु खेलाडी पेइयुयान सनले जितेका छन् । उनले पुरुष छ्वान छ्वानबाट आइतबार स्वर्ण जितेका हुन् । सनले ९ दशमलव ७५ अंक बटुल्दै इन्डोनेसिया एसियाडको पहिलो स्वर्ण आफ्नो देशमा भित्र्याएका हुन् ।,sports
एपीएफ क्लब विजयी,विभागीय टोली एपीएफ क्लबले छैटौं मनकामना केबलकार पोखरा कप फुटबलमा मंगलबारको उद्घाटन खेल जितेको छ । उसले हिमालयन शेर्पा क्लबलाई २–१ ले हराउँदै क्वाटरफाइनल तय गरेको हो ।,sports
नेपाल र बंगलादेश फाइनलमा भिड्‌ने,पोखरामा जारी १२ औं दक्षिण एशियाली सेभेन–ए–साइड फुटबल प्रतियोगिताको फाइनलमा नेपाल र बंगलादेश भिड्ने भएका छन् ।,sports
‘नेप्टे’ मा छुल्ठिमसँग दयाहाङ,‘झोले’ देखि ‘पुरानो डुंगा’ सम्म आइपुग्दा नायक दयाहाङ राई र नायिका प्रियंका कार्कीको अनस्क्रिन रोमान्स काफी चल्यो । यदाकदा आरोप पनि लाग्थ्यो— यी दुईले फिल्म निर्माता/निर्देशकलाई एकअर्काका लागि सिफारिस गर्छन् भनेर । तर दयाहाङ अभिनीत पछिल्ला फिल्म ‘लप्पन छप्पन’ र ‘घामपानी’ मा प्रियंका थिइनन् ।,entertainment
मेगा बैंकको नयाँ अफर,मेगा बैंक नेपालले नयाँ वर्षको अवसरमा ग्राहकका लागि बचत र मुद्दती खातामा नयाँ अफरहरू ल्याएको छ ।,business
बूढीगण्डकीबारे गेजुवासँग छलफल सुरु,"जलाशययुक्त बूढीगण्डकी जलविद्युत् आयोजना निर्माणको विषयमा चाइना गेजुवा ग्रुप कम्पनीसँग छलफल सुरु भएको छ । ऊर्जा, जलस्रोत तथा सिँचाइ मन्त्रालय र चिनियाँ कम्पनीका प्रतिनिधिबीच मंगलबारदेखि छलफल सुरु भएको हो । ",business
इटहरी गोल्डकप फाइनल आज : आर्मी र मनाङको होड,मदन भण्डारी स्मृति अन्तर्राष्ट्रिय आमन्त्रण इटहरी गोल्डकप फुटबलको ट्रफीको छिनोफानो शनिबार हुँदै छ । फाइनलमा त्रिभुवन आर्मी र मनाङ मस्र्याङदी क्लबले उपाधि दाबेदारी प्रस्तुत गर्नेछन् । ,sports
२० वर्ष पुरानो दूरसञ्चार ऐन फेरिँदै,सूचना तथा सञ्चार प्रविधि मन्त्रालयले २०५३ सालमा बनेको दूरसञ्चार ऐन संशोधनको तयारी थालेको छ । मन्त्रालयका सचिव महेन्द्रमान गुरुङले एक महिनाभित्र संशोधन पूरा हुने जानकारी दिए ।,business
कन्सर्ट गर्दै ‘पर्पला’,"सहरमा पुस्तक लोकार्पणका नयाँ–नयाँ प्रयोग भित्रिरहेका छन् । बुधबार राजधानीमा कन्सर्ट गर्दै मिलन संग्रौलाको उपन्यास ‘पर्पला’ लोकार्पण गरियो । गायक सुगम पोखरेल, गायिका रेखा शाह, मिलन अमात्य, बुकहिलका अध्यक्ष पवन आचार्य र भूपेन्द्र खड्काले पुस्तक लोकार्पण गरे । कन्सर्टमा पोखरेल, शाह र अमात्यले गीत पस्के । ",entertainment
परीक्षण उडानमै सीमित विमानस्थल,सरकारले करोडौं खर्च गरेर निर्माण गरेका विमानस्थल सञ्चालन हुन सकेका छैनन् । यसले जहाज चढ्ने आशामा बसेका स्थानीय निराश भएका छन् ।,business
विवादित चित्र,पुतलीको भेषमा कुमारी उडिरहेकी छन् । उनकै शिरमाथि चित्रकार आदित्य अर्यालले राता अक्षरमा ‘रेप मी’ लेखिदिए । प्रदर्शनीमा उनले युवा पुस्ताबाट राम्रै प्रतिक्रिया पाइरहेका थिए । केही पाका दर्शकले चाहिँ उनलाई ‘रेप मी’ शब्द मेट्न आग्रह पनि गरे । आदित्यले मानेनन् । प्रदर्शनीको भोलिपल्ट ग्यालरी आउँदा चित्रमा ‘रेप मी’ मेटिएको थियो । ,entertainment
त्रिविमा स्पोर्ट्स साइन्स पढाइने,त्रिभुवन विश्वविद्यालय (त्रिवि) ले स्नातकोत्तर तहमा स्पोर्ट्स साइन्स विषयको पठनपाठन सुरु गर्ने भएको छ । त्रिविले पहिलोपल्ट यो विषयको शैक्षिक तथा प्राज्ञिक कार्यक्रम ल्याएको हो ।,sports
"इमरान भन्छन्– हबेलीमा बस्दिनँ, कर दुरुपयोग रोक्छु",पाकिस्तानमा हालैको निर्वाचनमबाट सबैभन्दा ठूलो दलका नेता बनेका इमरान खानले आफूलाई प्रधानमन्त्रीका रूपमा घोषणा गर्दै महँगो हबेलीमा नबस्ने उद्घोष गरेका छन् ।,business
चिनी मिल चलेन,उखुको मूल्य निर्धाण हुन नसक्दा बाराको कलैयास्थित रिलायन्स सुगर एन्ड केमिकल इन्डस्ट्रिज सञ्चालनमा आउन सकेको छैन । ,business
मर्मत गरेर ल्याएकै दिन ग्राउन्डेड,सामान्य मर्मतका लागि मलेसिया पठाएको नेपाल वायुसेवा निगमको एक मात्र बोइङ विमान बुधबार ८१ दिनपछि काठमाडौं आइपुग्यो । काठमाडौंमा आवतरण नहुँदै ककपिटको विन्डसिल्ड (हावा रोक्ने भित्री भागको सिसा) आकाशमै चर्किएपछि फेरि ग्राउन्डेड भएको छ ।,business
नागरिकको तथ्यांक एकीकृत गर्ने तयारी,सरकारी निकायबाट दिइने सेवालाई प्रभावकारी र सरल बनाउन सरकारले नागरिकको सबै तथ्यांक एकीकृत गर्ने भएको छ । यसका लागि सरकारी निकायबीच छलफल सुरु गरिएको प्रधानमन्त्री केपी शर्मा ओलीका सूचना प्रविधि सल्लाहकार अस्गर अलीले जानकारी दिए ।,business
घारखोला जलविद्युत्मा अवरोध,"निर्माणाधीन १४ मेगावाटको घारखोला जलविद्युत् आयोजनामा स्थानीयवासीले अवरोध गरेका छन् । अन्नपूर्ण–५ को शिख, किन्दु र पाउद्धारवासीले अन्नपूर्ण–६ घारको कुरिलाखर्कस्थित आयोजनाको निर्माणस्थलमा पुगेर काम रोकिदिएका हुन् ।",business
शीर्ष वरीयताका खेलाडीको जित,अन्तर्राष्ट्रिय टेनिस महासंघ (आईटीएफ) को आयोजनामा पोखरामा सोमबारदेखि आईटीएफ यू–१८ जुनियर टेनिस च्याम्पियनसिप सुरु भएको छ ।,sports
‘चिँ मुसी चिँ’ को शीर्ष गीत,साउन ११ देखि प्रदर्शनमा आउन लागेको फिल्म ‘चिँ मुसी चिँ’ ले मंगलबार शीर्ष गीत रिलिज गरेको छ । गीत युटयुबमार्फत रिलिज गरिएको हो ।,entertainment
करणलाई सम्मान,"राष्ट्रिय क्रिकेट टोलीका सदस्य करण केसीलाई गृहजिल्लामा स्वागत र सम्मान गरिएको छ । बागलुङ नगरपालिका, जिल्ला खेलकुद विकास समिति र स्थानीय खेलाडीलगायतले करणलाई सम्मान गरे । बागलुङ नपा ८ सिगानाको लामिचौर घर भएका २६ वर्षे करणले देशको नाम उँचो बनाउन सफल भएको भन्दै ५० हजार रुपैयाँसहित सम्मान गरिएको हो ।",sports
एयर एसियालाई फेरि मौका,त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलले ४० करोड बक्यौता रकम नबुझाउने मलेसियाको ‘एयर एसिया एक्स’ लाई फेरि एक साताको म्याद दिएको छ ।,business
सीमामा रोकिएन तस्करी,श्रीसियास्थित सशस्त्र प्रहरीको बोर्डर आउट पोस्टको टोलीले सीमावर्ती भारतीय बजारबाट अवैध रूपले भित्र्याइरहेको अवस्थामा वीरगन्ज महनगरपालिका ३ इदगाह क्षेत्रबाट बुधबार कपडा नियन्त्रणमा लियो  ।  करिब ४ लाख रुपैयाँ बराबरका ती कपडा भन्सार राजस्व छली ल्याइएको थियो  ।,business
‘मिस यूके नेपाल’ को तयारी,"बेलायतका नेपाली युवतीबीच गरिने एउटा सौन्दर्य प्रतियोगिताको छैटौं संस्करण सुरु भएको छ । ‘मिस यूके नेपाल २०१७’ को पहिलो अडिसनमा शनिबार ६ सुन्दरी सहभागी भए । 
",entertainment
१२ सय पीडितले पाए ऋण,विनाशकारी भूकम्प गएको साढे तीन वर्षमा करिब १२ सय १८ पीडित घरपरिवारले मात्र २ प्रतिशत ब्याजदरको आवास कर्जा पाएका छन् । गत साउनरसम्म उक्त कर्जाबापत बैंक तथा वित्तीय संस्थाले २ अर्ब १९ लाख रुपैयाँ प्रवाह गरेको राष्ट्र बैंकको तथ्यांक छ ।,business
डीपीएल अपडेट : अत्तरिया र महेन्द्रनगर प्ले अफमा,सीवाइसी अत्तरिया विराटनगर किंग्सलाई १० रनले पराजित गरी रुस्लान धनगढी प्रिमियर लिग (डीपीएल) क्रिकेटमा तेस्रो विजय हात पार्दै प्ले अफमा पुगेको छ । विराटनगरको पराजयपछि टोली बाहिरिँदै महेन्द्रनगर युनाइटेड प्ले अफमा पुगेको छ ।,sports
उपाधि रक्षाको बाटोमा पुलिस,डिफेन्डिङ च्याम्पियन नेपाल पुलिस क्लब बुधबार संकटा क्लबलाई २–१ ले हराउँदै बुढासुब्बा रेडबुल गोल्डकप फुटबलको फाइनल पुगेको छ । पुलिसले उपाधि रक्षाका लागि फाइनलमा थ्रीस्टार र कोलकाताको दुर्गापुर स्टिल फुटबल क्लबको विजेतासँग प्रतिस्पर्धा गर्नेछ ।,sports
ब्याज विवाद : बैंक–व्यवसायी एकै ठाउँ,ब्याजदरको विषयमा देखिएको विवाद समाधान गर्न बैंक र व्यवसायीबीच छलफल भएको छ । दुई पक्षबीचको विवाद समाधान नभए सरकारद्वारा हस्तक्षेप हुने आशंकाका आधारमा सोमबार छलफल भएको छ । ,business
एपीएफ सेमिफाइनलमा,घरेलु मैदानमा नव जनजागृति युवा क्लब सिमरालाई २–० ले हराउँदै सशस्त्र प्रहरीको एपीएफ क्लब शुक्रबार रुस्लान नवौं सिमरा गोल्डकप फुटबलको क्वाटरफाइनल पुगेको छ। ,sports
प्रकाश राज चुनाव लड्दै,बलिउड अभिनेता प्रकाश राज चुनाव लड्ने भएका छन् । विभिन्न फिल्महरुमा खलनायकको भूमिका निर्वाह गर्ने प्रकाशले लोकसभा चुनावमा उठ्न लागेका हुन् ।,entertainment
‘पतञ्जलीको नेपाल कारोबारमा घाटा’,आयुर्वेदिक औषधिको मूल्य घटाउन नसकिने आचार्य बालकृष्णले बताएका छन् । योगगुरु रामदेवसँगै पतञ्जलीका आयुर्वेदिक उत्पादनहरूको कारोबार सम्हाल्दै आएका उनलाई सोमबार स्याङ्जामा स्थानीयले नेपाल पठाउने वस्तुको मूल्य घटाउन आग्रह गरेका थिए ।,business
कृषि कार्यक्रम १५% मात्र लागू,सरकारले किसानको हित र कृषि उत्पादन बढाउन महत्त्वाकांक्षी कार्यक्रम अघि सारे पनि कार्यान्वयन भएको छैन । महालेखा परीक्षकको प्रतिवेदनअनुसार सरकारले बजेटमार्फत घोषणा गरेका कृषिका कार्यक्रममध्ये १५ प्रतिशत मात्रै कार्यान्वयनमा आएका छन् ।,business
कृषिमा वैदेशिक अनुदान : दुई सयभन्दा बढी कार्यविधि खारेज हुने,सरकारले कृषिमा आउने अनुदान खर्च गर्दा एकरूपता ल्याउनका लागि प्रचलित कार्यविधि/विनियमावलीहरू खारेज गर्ने तयारी गरेको छ ।,business
पोल्यान्डमा ४० लाख अण्डा फिर्ता,विश्वका बजारहरूमा बिक्री गरिने खाद्य वस्तुहरूमा मानव स्वास्थ्यमा प्रतिकूल असर पार्ने हानिकारक रसायनहरू बढी मात्रामा प्रयोग गरिएको फेला पर्ने क्रम बढेको छ । नेपालमै पनि हालै दूधलगायतका दैनिक उपभोग्य पदार्थमा अखाद्य वस्तुहरू फेला परेका समाचार सार्वजनिक भइसकेका छन् ।,business
चम्किए राजकुमार,भारतको मुम्बईमा आयोजित ६३ औं फिल्मफेयर अवाड्र्समा ‘हिन्दी मिडियम’ सर्वोत्कृष्ट फिल्म बन्दा ‘न्युटन’ ले क्रिटिक्स अवार्डको उत्कृष्ट फिल्मको उपाधि चुमेको छ । इरफान खान र विद्या बालनले पपुलर क्याटेगोरीतर्फको उत्कृष्ट अभिनेता तथा अभिनेत्रीको अवार्ड जिते भने राजकुमार रावलाई ‘ट्रयाप्ड’ फिल्मले उत्कृष्ट अभिनेताको क्रिटिक्स अवार्ड दिलायो । ‘सिक्रेट सुपरस्टार’ की जायरा वसिमले पनि उत्कृष्ट अभिनेत्रीको क्रिटिक्स अवार्ड हात पारिन् ।,entertainment
जोकोभिच र डेल पोट्रो फाइनलमा,डिफेन्डिङ च्याम्पियन तथा विश्व नम्बर एक राफेल नडालले घुँडाको चोटका कारण सेमिफाइनल खेल बीचमै छाडेपछि अर्जेन्टिनाका हुँवा मार्टिन डेल पोट्रो शुक्रबार यूएस ओपन टेनिसको फाइनल पुगेका छन् । उनले उपाधि भिडन्तमा सर्बियाली नोभाक जोकोभिचको सामना गर्नेछन् ।,sports
मिलनलाई महिला क्रिकेट लिगको उपाधि ,चितवनको रत्ननगरमा सम्पन्न टि–२० महिला क्रिकेट लिगमा झापाको मिलन क्रिकेट एकेडेमी बिजयी भएको छ । ,sports
४२ वित्तीय संस्थाको पुँजी पुगेन,चुक्ता पुँजी वृद्धिका लागि दिइएको समय पूरा भएको करिब एक वर्षसम्म पनि ४२ वटा बैंक तथा वित्तीय संस्थाको पुँजी पुगेको छैन ।,business
अलैंचीको खेती विस्तार रोकियो,उत्पादन दिने पुरानो बगानका अलैंची भकाभक सुक्न थालेपछि रामेछापको उत्तरी क्षेत्रमा यो वर्ष अलैंची विस्तार रोकिएको छ । नर्सरीमा हुर्केका लाखौं बिरुवा बिक्री भएका छैनन् ।,business
‘मौलिक कथामा डमरुको डन्डीबियो’,"खेलमाथि बनेका हिन्दी सिनेमामा प्राय: दोहोरिने कथा हो– बुवाले आफ्नो जमानामा कुनै खेल खेल्ने, पछि त्यो खेल खेलेर पार नलाग्ने देखेपछि चटक्कै छोड्ने, छोराले आफ्नो जमानामा त्यहीं खेल खेल्न खोज्ने, बुवाले रोक्ने, छोराले कुनै पनि हालतमा ‘कन्भिन्स’ गराउने, बुवाले सिकाउन राजी हुने र अन्तत: कुनै टुर्नामेन्ट जित्ने ।",entertainment
उत्कृष्ट किसान सम्मानित,तरकारी तथा फलफूल प्रदर्शनीमा उत्कृष्ट भएका यहाँका किसानलाई सम्मान गरिएको छ । विदुरमा सञ्चालन भइरहेको पाँचौं नुवाकोट महोत्सवमा तरकारी तथा फलफूलका विभिन्न सात विधामा उत्कृष्ट भएका किसानलाई नगद र सम्मानपत्रबाट शुक्रबार पुरस्कृत गरिएको हो ।,business
‘कृषिका कार्यक्रममा अत्यधिक चुहावट’,"पशुपक्षीसहित चारवटा मन्त्रालय गाभेर बनाइएको कृषि, भूमि व्यवस्था तथा सहकारी मन्त्रालयले आफ्ना कार्यक्रमहरूमा अत्यधिक चुहावट रहेको विवरण सार्वजनिक गरेको छ । मुलुकभित्रै उत्पादन हुन सक्ने कृषि उपजसमेत ठूलो परिणाममा आयात गर्नुपरेकाले व्यापार घाटा भयावह रूपमा बढ्दै गएको समेत उक्त विवरणमा छ ।",business
विदेशबाट आयातित दाल भारत तस्करी,चीन र सिंगापुरबाट आयात गरिएको रहरको दाल बाँकेका नाका हुँदै भारत तस्करी हुने गरेको तथ्य खुलेको छ । ,business
सिमरा गोल्डकप तयारी सुरु,बाराको सिमरास्थित रंगशालामा माघ पहिलो सातादेखि हुने रुस्लान दसौं सिमरा गोल्डकप फुटबल २०७५ को तयारी सुरु भएको छ । ,sports
मौनतामा अल्झिरहेको एउटा जीवन,नेपाली पप किङका रूपमा परिचित गायक ओमविक्रम विष्ट अहिले अस्वस्थ छन् । उनका दुवै मृगौला खराब भएकाले केही दिनअघि अस्पताल भर्ना गर्नुपरेको थियो । ,entertainment
धरान रनमा पुन र कोजु प्रथम,धरानमा शनिबार सम्पन्न नेपाल आईस धरान रन छैटौं नेवा च्यारिटी ८ के रनको पुरुषतर्फ तीर्थ पुन र महिलातर्फ एपिएफकी २००४ कि एथेन्स ओलम्पियन कान्छिमाया कोजु प्रथम भएका छन् । ,sports
उपभोक्ताको घरदैलोमै किसान,सदरमुकाम नजिकैको पावरहाउसका देवीप्रसाद जैसी दैनिक तरकारी बोकेर बजार पुग्छन् । दुई घण्टामा डोकोभरिको तरकारी बेचेर घरको काम भ्याउन फर्कन्छन् । जैसीकै जस्तो दैनिकी नारायणप्रसाद शर्मा र नरबहादुर थापाको पनि छ ।,business
म्यानचेस्टर सिटीको सानदार जित,प्रिमियर लिग उपाधि पक्का गरिसकेको म्यानचेस्टर सिटी ले लिग अन्तर्गत आइतबार स्वान्सीलाई ५–० ले हराएको छ ।,sports
साहसी हिमाललाई अवार्ड,२०७४ सालमा नेपाली टोलीले घरेलु मैदानमा दक्षिण एसियाली हिलचेयर बास्केटबल र क्रिकेटको उपाधि जित्दा हिमाल अर्यालले कप्तानी सम्हालेका थिए ।,sports
कारोबार रकम तलमाथि परेको छैनः नेप्से,नेपाल स्टक एक्सचेञ्जले कारोबार रकम तलमाथि परेको भन्दै आएको गुनासो हल्ला मात्रै भएको जनाएको छ । ,business
बाँझो जग्गा भाडामा लिई खेती,गन्यापधुरा र अमरगढी नगरपालिकाका ५ युवाले सामूहिक खेतीबाट एकै वर्षमा २५ लाख रुपैयाँ आम्दानी गरेका छन् । २५ वर्षदेखि बाँझो रहेको १ सय २ रोपनी जग्गा भाडामा लिई खेती गरेका हुन् ।,business
ललित स्मृति फुटबल आजदेखि,ललित स्मृति यू–१८ फुटबल प्रतियोगिताको तेस्रो संस्करण मंगलबार सुरु हुँदै छ । पहिलो दिन न्युरोड टिम (एनआरटी) र मछिन्द्र क्लब तथा डिफेन्डिङ च्याम्पियन त्रिभुवन आर्मी र सरस्वती युवा क्लबबीच प्रतिस्पर्धा हुनेछ ।,sports
किसानको रोजाइमा अलैंचीका दुई प्रजाति,"यहाँ ६ प्रजातिका अलैंची खेती गरिएको छ । किसानको रोजाइमा भने ‘रामसाई’ र ‘गोलसाई’ छन् । ग्रामीण बस्ती नजिकै, सामान्य उचाइ तथा वातावरणमा हुने भएपछि किसानको रोजाइ यी दुई प्रजातिमा परेका हुन् ।",business
कौरामय साँझ,कौरा गायनमा चिनिएका दुर्गा गुरुङ एकल साँझमा गुन्जिएका छन् । तमु (गुरुङ) समाज तनहुँ काठमाडौंले शनिबार राष्ट्रिय नाचघरमा गरेको ‘दुर्गा गुरुङ एकल साँझ’ कौरामय बन्यो ।,entertainment
देउरालीमा तीन दशक,"तीसको दशकताका नेपाली परिवेश र संस्कृति कस्तो थियो होला ? युवा पुस्ताले कल्पना गर्नु स्वाभाविक हो । यति बेला राजधानीको शिल्पी थिएटरमा ३० को दशकमा नेपाली जनजीवनको झल्को दिने नाटक ‘अनि देउराली रुन्छ’ मञ्चन भइरहेको छ ।
",entertainment
खच्चड बेचेर गाडी,कुनै बेलाका खच्चड मालिक हाल गाडी साहु । सडकले उनीहरूलाई खच्चडबाट गाडी मालिकमा रूपान्तरण गरिदियो । केही लगानीसँगै आम्दानी पनि बढयो ।,business
मलेसियामा आममाफी कार्यक्रम सकियो,मलेसियाले अवैधानिक आप्रवासी कामदारलाई स्वदेश फर्कनका लागि सञ्चालन गरेको ‘थ्री प्लस वान सरेन्डर प्रोग्राम’ नाम दिइएको आममाफी कार्यक्रम बिहीबार सकिएको छ ।,business
कामीरिता २३  औं पटक सगरमाथा चढ्दै,"विश्वको सर्वोच्च शिखर सगरमाथाको सर्वाधिक २२ पटक आरोहण गरी विश्व कीर्तिमान कायम गरेका सोलुखुम्बुका कामीरिता शेर्पा आउँदो वसन्तकालमा फेरि आरोहणमा जाने भएका छन् । शेर्पाले फागुनपछि सुरु हुने वसन्तकालीन सिजनमा आफू सगरमाथाको २३ औं आरोहण गर्न तयार रहेको बताए । ‘यसपालि २३ औं पल्ट सगरमाथा चढदै छु,’ उनले भने, ‘सबै तयारी करिब–करिब सकिइसकेको छ । मार्च अप्रिलमा सगरमाथातिर लाग्छु होला ।’ ",business
न्यूनतम ज्याला टुंगो लागेन,सरकारद्वारा गठित न्यूनतम पारिश्रमिक निर्धारण समितिले श्रमिकका लागि न्यूनतम तलब तोक्न सकेको छैन । रोजगारदाताले श्रमिकलाई दिन सक्ने न्यूनतम पारिश्रमिकको प्रस्ताव त्रिपक्षीय बैठकमा पेस नगरेकाले ज्याला तोक्न ढिलाइ भएको हो ।,business
"कर्जा अनियमिततामा सर्वोच्चको व्याख्या- ‘जुन ऐन सान्दर्भिक हुन्छ, त्यसैअनुसार कारबाही’"," सर्वोच्च अदालतले फौजदारी कसुरमा कारबाही चलाउने क्रममा जुन ऐन सान्दर्भिक हुन्छ, त्यसैअनुसार आरोपितमाथिको कारबाही र कसुर निर्धारण हुने व्याख्या गरेको छ ।",business
