,Words,Frequency
3928,८९,10
3929,आंशिकदेखि,10
3930,विरुद्धको,10
3931,आई,10
3932,बस्नेतले,10
3933,गतेको,10
3934,प्रेरणा,10
3935,सिँचाइ,10
3936,मेयरमा,10
3937,डल्फिन,10
3938,घोर,10
3939,महतोले,10
3940,सचेतना,10
3941,कर्जाको,10
3942,हातमा,10
3943,होलान्,10
3944,तिनलाई,10
3945,आकस्मिक,10
3946,लगाउनुभएको,10
3947,पूर्णरुपमा,10
3948,कोइरालाको,10
3949,देखाउने,10
3950,रावल,10
3951,विशिष्ट,10
3952,चक्र,10
3953,आँशिकदेखि,10
3954,कोषाध्यक्ष,10
3955,प्रतिस्पर्धामा,10
3956,शून्यमा,10
3957,ढुङ्गा,10
3958,त्यसबाहेक,10
3959,दीपेन्द्रसिंह,10
3960,छोडेको,10
3961,रुप,10
3962,गुमाएका,10
3963,फरार,10
3964,आफु,10
3965,नेकपामा,10
3966,चोट,10
3967,नागरिकका,10
3968,उपलब्धि,10
3969,लघु,10
3970,सभाका,10
3971,लाभान्वित,10
3972,करोडभन्दा,10
3973,नितान्त,10
3974,रातो,10
3975,बुझाउने,10
3976,जनशक्तिको,10
3977,अल्पमतमा,10
3978,थारु,10
3979,मेट्रिक,10
3980,प्रचलन,10
3981,जितेका,10
3982,रकमान्तर,10
3983,भन्यो,10
3984,शरीरको,10
3985,धेरैजसो,10
3986,मेडनसहित,10
3987,राजापाक्षेको,10
3988,गोदाममा,10
3989,उपसभामुखमा,10
3990,तीनै,10
3991,छाड्न,10
3992,चौकासहित,10
3993,इन्धनको,10
3994,निषेध,10
3995,नेप्से,10
3996,प्रतिस्थापन,10
3997,कमेडी,10
3998,नुनको,10
3999,क्रियाकलाप,10
4000,लामिछाने,10
4001,रुसले,10
4002,२०१४,10
4003,शान्तिपूर्ण,10
4004,सागर,10
4005,बितिसक्दा,10
4006,अन्यत्र,10
4007,बाख्रा,10
4008,विधेयकको,10
4009,पूर्वअर्थमन्त्री,10
4010,आयल,10
4011,गहन,10
4012,उपसमूहको,10
4013,विद्यार्थीले,10
4014,विरोधको,10
4015,महतो,10
4016,मोटरसाइकलमा,10
4017,अभियोग,10
4018,सदस्यहरू,10
4019,दर्जनौं,10
4020,युक्रेनी,10
4021,सेटमा,10
4022,लाग्नु,10
4023,शरीरलाई,10
4024,राज,10
4025,टाइम्स,10
4026,मजदूर,10
4027,मेचीनगर,10
4028,लगायतले,10
4029,मगरले,10
4030,व्यक्तित्व,10
4031,गाउँको,10
4032,नाफा,10
4033,सुराकी,10
4034,निर्णयलाई,10
4035,सुझावलाई,10
4036,अर्याल,10
4037,वर्षभन्दा,10
4038,पाउनुभयो,10
4039,महिलाले,10
4040,फाइनलमा,10
4041,प्रतियोगिताका,10
4042,बस्तीमा,10
4043,जनजीवन,10
4044,हप्ता,10
4045,संचालन,10
4046,वास्तवमा,10
4047,पालिकाका,10
4048,आयोजनालाई,10
4049,चलाउनुहुन्छ,10
4050,योग्यता,10
4051,खण्ड,10
4052,मिलाइएको,10
4053,राखेपका,10
4054,निमा,10
4055,कोसी,10
4056,खाका,10
4057,पक्षीय,10
4058,भाडा,10
4059,धुने,10
4060,२०१८,10
4061,क्यापिटल,10
4062,बैना,10
4063,श्रमजीवी,10
4064,प्रचण्डलाई,10
4065,दिइन्,10
4066,‘यो,10
4067,जमिन,10
4068,भ्रष्टाचारको,10
4069,बुझाउन,10
4070,नरेन्द्र,10
4071,घर्ती,10
4072,म्याग्दी,10
4073,भण्डारीसँग,10
4074,महिनासम्म,10
4075,रहेकी,10
4076,७९,10
4077,नवलपुरले,10
4078,जलविद्युत्,10
4079,कुरो,10
4080,योजनाहरु,10
4081,हातहतियार,10
4082,कामका,10
4083,दिनुपर्छ,10
4084,पेस्की,10
4085,लगत्तै,10
4086,आइरहेको,10
4087,हिमाली,10
4088,गल्ती,10
4089,संघीयताको,10
4090,आएकाले,10
4091,इंग्ल्यान्डका,9
4092,खुट्टा,9
4093,भाषाका,9
4094,सिंहदरबारमा,9
4095,कम्तिमा,9
4096,आमाको,9
4097,आत्मनिर्भर,9
4098,मृतकको,9
4099,दिनमै,9
4100,व्यापारी,9
4101,गर्नसमेत,9
4102,गहतराजले,9
4103,बनेर,9
4104,यापा,9
4105,चालू,9
4106,उत्सव,9
4107,पढेर,9
4108,संसदका,9
4109,रोगबाट,9
4110,प्रतिकेजी,9
4111,पढ्ने,9
4112,आत्मालोचना,9
4113,ज्योति,9
4114,तिर्ने,9
4115,समाजवाद,9
4116,निर्णयहरु,9
4117,अमृत,9
4118,पटक–पटक,9
4119,ओलीका,9
4120,गरिरहनुभएको,9
4121,प्रविधिको,9
4122,दलहरू,9
4123,अनाधिकृत,9
4124,२०७७०७८,9
4125,गिरिजाप्रसाद,9
4126,दोषी,9
4127,विराटनगरमा,9
4128,हैसियत,9
4129,मिश्र,9
4130,दिवसका,9
4131,लिनु,9
4132,लागी,9
4133,विधेयकका,9
4134,परिवर्तनका,9
4135,ओगटेको,9
4136,उठ्न,9
4137,साथीहरूले,9
4138,गर्नेमा,9
4139,पर्दै,9
4140,मोरङको,9
4141,छोरालाई,9
4142,रोड,9
4143,पदीय,9
4144,हक,9
4145,किनकि,9
4146,लड्न,9
4147,समयावधि,9
4148,वकालत,9
4149,केहीले,9
4150,सन्तोष,9
4151,आवास,9
4152,बालीमा,9
4153,सिर्जनशील,9
4154,उठेपछि,9
4155,उकास्न,9
4156,समुदायका,9
4157,तथ्यांकअनुसार,9
4158,गठबन्धनसँग,9
4159,संरचनामा,9
4160,संगठनको,9
4161,द्वन्द्वका,9
4162,अभिवृद्धि,9
4163,द्वन्द्वकालीन,9
4164,समितिबाट,9
4165,सुपारी,9
4166,आफूहरु,9
4167,राना,9
4168,चिन्तित,9
4169,थपेको,9
4170,यात्राको,9
4171,‘प्रचण्ड’,9
4172,रनले,9
4173,‘तर,9
4174,भारतसँग,9
4175,विक्रमासिंघेले,9
4176,तस्बिर,9
4177,सर्वदलीय,9
4178,सार्थक,9
4179,चरण,9
4180,महालेखाको,9
4181,लगेको,9
4182,नपुगेको,9
4183,पालिकाले,9
4184,दीपेन्द्र,9
4185,चौधरीको,9
4186,ख्याल,9
4187,पानीमा,9
4188,उठाउँदै,9
4189,जेम्स,9
4190,मन्त्रीहरूको,9
4191,दौडमा,9
4192,ज्ञानेन्द्र,9
4193,शैलीमा,9
4194,लिनुपर्ने,9
4195,दिएकी,9
4196,दुरी,9
4197,सक्रियता,9
4198,पानीले,9
4199,रिसर्च,9
4200,हुनासाथ,9
4201,हुन्न,9
4202,२०७७७८,9
4203,परिस्थितिको,9
4204,रोक्ने,9
4205,की,9
4206,अनधिकृत,9
4207,सबैका,9
4208,छैटौँ,9
4209,दुख्ने,9
4210,आइरहेका,9
4211,संयन्त्र,9
4212,लागेकाले,9
4213,अत्यन्तै,9
4214,सञ्चित,9
4215,दायरामा,9
4216,नाटक,9
4217,आफूहरुको,9
4218,दायरा,9
4219,प्रत्याभूति,9
4220,भेलामा,9
4221,डरलाग्दो,9
4222,फुटाउन,9
4223,उपलव्ध,9
4224,अर्यालले,9
4225,भेगमा,9
4226,विवरणमा,9
4227,यहीँ,9
4228,टाट,9
4229,समुदायलाई,9
4230,पुस्ताले,9
4231,दिशामा,9
4232,दर्शकले,9
4233,सरोज,9
4234,एन्टिजेन,9
4235,उल्लंघन,9
4236,बज्राचार्य,9
4237,बहराइनमा,9
4238,पदम,9
4239,केदार,9
4240,तपाईंले,9
4241,कार्यक्रमहरु,9
4242,सदैव,9
4243,निकाल्न,9
4244,पेशा,9
4245,राम,9
4246,अश्रुग्यास,9
4247,बानियाँ,9
4248,उन्मुख,9
4249,बडूले,9
4250,बढ्यो,9
4251,रिजाल,9
4252,औँ,9
4253,हुनुका,9
4254,बास,9
4255,दाउरा,9
4256,२६०,9
4257,इद,9
4258,जमिनमा,9
4259,आदेशमा,9
4260,पालिकामा,9
4261,संसारमा,9
4262,उचाइमा,9
4263,मन्त्रीले,9
4264,व्यवस्थाअनुसार,9
4265,स्थानीयको,9
4266,मुस्किल,9
4267,पेसा,9
4268,उद्यमी,9
4269,शतप्रतिशत,9
4270,सम्मको,9
4271,स्वतन्त्रताको,9
4272,उद्देश्यका,9
4273,बुबा,9
4274,कमिटीको,9
4275,सङ्घ,9
4276,पाकिस्तान,9
4277,परम्परा,9
4278,तनाव,9
4279,जनाउनुभयो,9
4280,लोकेन्द्र,9
4281,हारका,9
4282,बुढीगंगा,9
4283,छनौट,9
4284,दिल्ली,9
4285,खुल्न,9
4286,अनुसन्धानबाट,9
4287,बहिस्कार,9
4288,टाइटल,9
4289,सुरक्षाकर्मी,9
4290,साधना,9
4291,तोडफोड,9
4292,ओलीसँग,9
4293,सिंहको,9
4294,उसुमा,9
4295,जुस,9
4296,कालिका,9
4297,गरिमा,9
4298,भित्र्याउन,9
4299,रोकायाले,9
4300,स्वचालित,9
4301,शनिबारको,9
4302,बालुवा,9
4303,शिक्षालाई,9
4304,सांगीतिक,9
4305,नगरपालिका१,9
4306,दाङ,9
4307,एसियन,9
4308,यसैलाई,9
4309,मान्ने,9
4310,विकट,9
4311,रत्न,9
4312,बलात्कार,9
4313,आफन्त,9
4314,कारक,9
4315,चन्द्र,9
4316,दुर्गा,9
4317,विश्वविद्यालयले,9
4318,कवि,9
4319,उत्खनन,9
4320,उमेश,9
4321,फ्रान्स,9
4322,स्थगन,9
4323,वडाका,9
4324,अल्पकालीन,9
4325,नाली,9
4326,छापावाल,9
4327,निर्यातको,9
4328,गरेरै,9
4329,विश्वप्रकाश,9
4330,तानसेन,9
4331,मानन्धर,9
4332,दिइरहेको,9
4333,डाटा,9
4334,प्रोत्साहित,9
4335,खेतबारी,9
4336,स्थानको,9
4337,शक्तिको,9
4338,गरेन,9
4339,चल्दै,9
4340,लोकमार्ग,9
4341,बुझाइ,9
4342,मुख्यसचिव,9
4343,जेनिथ,9
4344,भएदेखि,9
4345,हालका,9
4346,हलेसी,9
4347,नकआउट,9
4348,खोलाहरूमा,9
4349,अनुमोदन,9
4350,तिनका,9
4351,पुगी,9
4352,नेताहरुको,9
4353,योजनालाई,9
4354,शनिवार,9
4355,किनारमा,9
4356,रुपियाँ,9
4357,बसिरहेका,9
4358,सांसदको,9
4359,त्यसरी,9
4360,पुगिसकेको,9
4361,विवाहको,9
4362,पाइन्छन्,9
4363,इच्छा,9
4364,सेन,9
4365,नपरोस्,9
4366,पर्नुपर्ने,9
4367,अर्व,9
4368,जनही,9
4369,बधाई,9
4370,लाइनको,9
4371,अनुसन्धानका,9
4372,उठाएको,9
4373,किलोमिटरको,9
4374,महिनाभित्र,9
4375,मान्न,9
4376,शपथ,9
4377,शिक्षकको,9
4378,आनन्द,9
4379,क्वान्टम,9
4380,साताको,9
4381,इजलास,9
4382,कन्या,9
4383,त्यसप्रति,9
4384,मनमा,9
4385,हुनुभएका,9
4386,इलाम,9
4387,पकेट,9
4388,ख,9
4389,सिमित,9
4390,लेख्नुभएको,9
4391,बिरामीलाई,9
4392,घन्टा,9
4393,सम्पादक,9
4394,स्रष्टा,9
4395,तत्कालका,9
4396,तराई,9
4397,साइकल,9
4398,ललितपुरमा,9
4399,सुर्खेतका,9
4400,प्रदेशप्रति,9
4401,पाउँदा,9
4402,८००,9
4403,मालपोत,9
4404,सुटिङ,9
4405,निवारण,9
4406,भरपर्दो,9
4407,उपप्रमुख,9
4408,समस्याका,9
4409,अवसरको,9
4410,लेखनको,9
4411,प्रतिवद्धता,9
4412,आबेले,9
4413,धम्की,9
4414,बाँके,9
4415,गाई,9
4416,महाशाखाले,9
4417,कामदारलाई,9
4418,व्यक्तिमा,9
4419,प्रज्ञा,9
4420,बन्दाबन्दीका,9
4421,घटनास्थलमै,9
4422,कराँते,9
4423,मुटु,9
4424,लेखिएको,9
4425,विजेतालाई,9
4426,हुनुअघि,9
4427,प्रधानमन्त्रीका,9
4428,बाग्मती,9
4429,जुम्लाका,9
4430,विज्ञ,9
4431,धेरैको,9
4432,बने,9
4433,निर्देशिका,9
4434,सेनाका,9
4435,कोषबाट,9
4436,२०१३,9
4437,बसिर,9
4438,बताउछन्,9
4439,हारेर,9
4440,खाणले,9
4441,समाजले,9
4442,पाँचौँ,9
4443,निन्दा,9
4444,लक्ष्मण,9
4445,प्रार्थना,9
4446,बहुमतको,9
4447,हाजिर,9
4448,उपमेयर,9
4449,ऐनलाई,9
4450,बैठकलाई,9
4451,मान्छेलाई,9
4452,प्रदेशबाट,9
4453,आयुर्वेदिक,9
4454,स्थिरता,9
4455,मिलाउने,9
4456,बुधबारको,9
4457,बैठकका,9
4458,कामले,9
4459,खेलका,9
4460,दृश्य,9
4461,निर्देशनमा,9
4462,च्याम्पियनसिपमा,9
4463,घटनास्थलमा,9
4464,पारे,9
4465,देखिएकाले,9
4466,गुणस्तरीय,9
4467,हदम्याद,9
4468,ओपनर,9
4469,मजदुरी,9
4470,साझेदारी,9
4471,चिकित्सा,9
4472,एकएक,9
4473,अनुपस्थित,9
4474,उद्योगहरु,9
4475,कल्पना,9
4476,युरोपेली,9
4477,सारा,9
4478,हिमालय,9
4479,श्रेष्ठका,9
4480,अर्काको,9
4481,पुटिनले,9
4482,भईरहेको,9
4483,पक्का,9
4484,घटेका,9
4485,खुल्ने,9
4486,सेकेन्डको,9
4487,अर्जुन,9
4488,साउदी,9
4489,निशाना,9
4490,सोमपाल,9
4491,साग,9
4492,खर्चमा,9
4493,सागको,9
4494,शेर्पा,9
4495,दुईजना,9
4496,सकेसम्म,9
4497,छलफलपछि,9
4498,एमालेलाई,9
4499,कुराहरू,9
4500,हिमालयन,9
4501,निस्कन,9
4502,संसद्बाट,9
4503,शिल्ड,9
4504,गिरावट,9
4505,चलखेल,9
4506,मेलम्चीको,9
4507,हैन,9
4508,रह्यो,9
4509,परिषद्मा,9
4510,कराँतेमा,9
4511,बोकेको,9
4512,त्यसमध्ये,9
4513,आइसकेको,8
4514,बहाना,8
4515,सयौं,8
4516,आपराधिक,8
4517,बन्दा,8
4518,फर्किन,8
4519,महिनावारी,8
4520,जनप्रतिनिधि,8
4521,सभापतिको,8
4522,सुमधुर,8
4523,अनुदानको,8
4524,मिश्रले,8
4525,अमेरिकाले,8
4526,सशक्त,8
4527,देखेपछि,8
4528,स्पष्टीकरण,8
4529,नेकपाभित्र,8
4530,अप्ठ्यारो,8
4531,चुकन्दरको,8
4532,शिष्टाचार,8
4533,पर्यटकलाई,8
4534,राष्ट्रपतिलाई,8
4535,टोलीका,8
4536,खोटाङ,8
4537,उपेक्षा,8
4538,भुमिहिन,8
4539,समझदारी,8
4540,बजारसम्म,8
4541,४००,8
4542,खड्कासँग,8
4543,युवालाई,8
4544,आपसी,8
4545,खोजेका,8
4546,गर्दैन,8
4547,नआए,8
4548,सदस्य–सचिव,8
4549,खरायो,8
4550,२०६६,8
4551,अर्थमन्त्रीले,8
4552,खरायोको,8
4553,राष्ट्रियसभा,8
4554,थप्ने,8
4555,महाशाखाका,8
4556,युवाले,8
4557,स्थानीयवासीको,8
4558,अधिकारीमाथि,8
4559,स्टेट,8
4560,उखु,8
4561,सचिवमा,8
4562,बजेका,8
4563,अभियानले,8
4564,शिला,8
4565,अवस्थाबारे,8
4566,दक्षिणी,8
4567,शालिग्राम,8
4568,सेती,8
4569,महाधिवेशनमा,8
4570,प्रतिशतमा,8
4571,प्राधिकरणको,8
4572,चारजना,8
4573,रवि,8
4574,खगेन्द्र,8
4575,उस्तै,8
4576,विषाक्त,8
4577,उहाँँले,8
4578,काटेर,8
4579,रोप्ने,8
4580,बढ्छ,8
4581,रहृयो,8
4582,अनुरुप,8
4583,तपाईंलाई,8
4584,बचाउन,8
4585,एकैपटक,8
4586,उत्पादनलाई,8
4587,सन्धि,8
4588,नाजुक,8
4589,काउन्टर,8
4590,सर्वसाधारणले,8
4591,पत्रको,8
4592,पूर्वानुमान,8
4593,फायर,8
4594,डेंगु,8
4595,गोठ,8
4596,अपरान्ह,8
4597,नाडालले,8
4598,विजेताले,8
4599,धामीले,8
4600,उद्धृत,8
4601,पार्नु,8
4602,सहयोगका,8
4603,साउनको,8
4604,विक्री,8
4605,अवतरण,8
4606,त्रिपुरेश्वरस्थित,8
4607,प्रदर्शनकारीहरू,8
4608,चहलपहल,8
4609,कुशल,8
4610,पुग्नुभएको,8
4611,ओभर,8
4612,आव्हान,8
4613,ज्ञवालीले,8
4614,दाङका,8
4615,सोनी,8
4616,मीनबहादुर,8
4617,परी,8
4618,विस्तारमा,8
4619,जहाजले,8
4620,लेखापरीक्षणबाट,8
4621,पिसिआर,8
4622,भ्रम,8
4623,मन्त्रीको,8
4624,बन्नुपर्ने,8
4625,प्रतिनिधिको,8
4626,घिसिङ,8
4627,नदेखाएको,8
4628,आदिल,8
4629,बिकास,8
4630,आसपासका,8
4631,दिन्छन्,8
4632,उद्धारका,8
4633,पठाउन,8
4634,पुसमा,8
4635,घण्टाको,8
4636,रोगको,8
4637,बसे,8
4638,भित्रिने,8
4639,नामिबिया,8
4640,आयोगमा,8
4641,इरानमा,8
4642,खेल्नेछ,8
4643,आक्रोशित,8
4644,सायद,8
4645,स्कटल्यान्ड,8
4646,निर्माणाधीन,8
4647,लायन्स,8
4648,सभापतिले,8
4649,साक्षरता,8
4650,महँगी,8
4651,बराल,8
4652,पन्थीले,8
4653,उत्पादनले,8
4654,छात्रालाई,8
4655,आफूहरूको,8
4656,सम्झौताअनुसार,8
4657,एकीकरण,8
4658,अनौपचारिक,8
4659,विश्वकर्मा,8
4660,एकदिवसीय,8
4661,अंग,8
4662,उद्धव,8
4663,मागेको,8
4664,टोलीमा,8
4665,समाजलाई,8
4666,आठमा,8
4667,न्यौपाने,8
4668,समायोजन,8
4669,सीमावर्ती,8
4670,अधिवक्ताको,8
4671,स्थानीयवासीले,8
4672,अरुको,8
4673,त्रासले,8
4674,बजारका,8
4675,सांसदहरुको,8
4676,बालबालिकालाई,8
4677,कठिनाइ,8
4678,सञ्चारकर्मी,8
4679,गरिरहनु,8
4680,छक्का,8
4681,स्थलगत,8
4682,विप्रेषण,8
4683,गोदाम,8
4684,पकाउने,8
4685,अलि,8
4686,गम्भीरतापूर्वक,8
4687,सिङ्गो,8
4688,फुटेज,8
4689,पटकको,8
4690,शसस्त्र,8
4691,भेटिएका,8
4692,दूरीमा,8
4693,सिलसिलामा,8
4694,काट्ने,8
4695,लुगा,8
4696,आबेलाई,8
4697,बालबालिकाको,8
4698,देवकोटा,8
4699,थुनामा,8
4700,२२०,8
4701,एमालेकै,8
4702,अस्थिर,8
4703,रिपोर्टका,8
4704,प्राडा,8
4705,पार्किङ,8
4706,तत्व,8
4707,पर्यटक,8
4708,चिन्ताको,8
4709,पार्नुभएको,8
4710,फूल,8
4711,सदस्यहरुको,8
4712,जलवायु,8
4713,सत्यतथ्य,8
4714,अबका,8
4715,वनजंगल,8
4716,सिफारिश,8
4717,अंकमा,8
4718,मृतकका,8
4719,नवलपुर,8
4720,तुवाचुङ,8
4721,युनियनमा,8
4722,विरुवा,8
4723,भरत,8
4724,हिनामिना,8
4725,प्रशस्त,8
4726,टिमको,8
4727,एयर,8
4728,अन्योल,8
4729,गोहीले,8
4730,अनुसारको,8
4731,पत्रकारलाई,8
4732,सदस्यका,8
4733,मधेसी,8
4734,शाखाले,8
4735,सङ्घका,8
4736,टिमलाई,8
4737,अपनाइएको,8
4738,गरेकोले,8
4739,खानेपानीको,8
4740,गहना,8
4741,टेलिभिजन,8
4742,शिकारलाई,8
4743,वीरबल,8
4744,देखाउँछ,8
4745,रोगका,8
4746,त्यहाँको,8
4747,अनुसन्धानमा,8
4748,सांसदलाई,8
4749,हप्तादेखि,8
4750,सातादेखि,8
4751,ढङ्गले,8
4752,त्रियुगा,8
4753,दर्जन,8
4754,चाहिएको,8
4755,जथाभावी,8
4756,अस्वाभाविक,8
4757,सफलताको,8
4758,पटना,8
4759,क्लबले,8
4760,बुद्धलाई,8
4761,७५०,8
4762,प्रशिक्षणमा,8
4763,महत्त्व,8
4764,जेल,8
4765,बर्दिया,8
4766,खासगरी,8
4767,लोकतन्त्रको,8
4768,कर्कट,8
4769,कप,8
4770,साझाले,8
4771,लगानीकर्ता,8
4772,जडीबुटी,8
4773,मिचेर,8
4774,वृष,8
4775,बाहृय,8
4776,नेताहरुलाई,8
4777,कमला,8
4778,मेष,8
4779,खोलाको,8
4780,कर्ण,8
4781,सम्पदा,8
4782,प्रोडक्सनको,8
4783,जीवनका,8
4784,खोजिरहेको,8
4785,सुस्मिता,8
4786,क्षेत्रफलमा,8
4787,१७१,8
4788,प्रभावशाली,8
4789,प्रतिष्ठा,8
4790,बिजुलीको,8
4791,भूक्षय,8
4792,हुम्ला,8
4793,बन्दाबन्दीको,8
4794,१३१,8
4795,कमीकमजोरी,8
4796,किसानहरू,8
4797,कारवाहीको,8
4798,अन्तरक्रिया,8
4799,जनाउनुभएको,8
4800,हलमा,8
4801,परे,8
4802,पठाएका,8
4803,धादिङ,8
4804,विस्थापित,8
4805,नायक,8
4806,देख्ने,8
4807,नसकेर,8
4808,फर्काउन,8
4809,संस्थापक,8
4810,चिया,8
4811,निर्णयले,8
4812,चाइना,8
4813,शीर्षक,8
4814,मोरङ,8
4815,आईजीपी,8
4816,चुनौतीपूर्ण,8
4817,बदलेर,8
4818,नजिकैको,8
4819,खसेको,8
4820,लामाको,8
4821,सुष्मिताको,8
4822,महराले,8
4823,अर्पण,8
4824,इन्टरनेट,8
4825,गरिबी,8
4826,गर्नुको,8
4827,निगम,8
4828,सन्तान,8
4829,पक्की,8
4830,एजेण्डामा,8
4831,महसुल,8
4832,चेतना,8
4833,भनिरहेका,8
4834,रिहा,8
4835,कारबाहीको,8
4836,गणेशप्रसाद,8
4837,राहतको,8
4838,परिक्रमास्थल,8
4839,अचानक,8
4840,तेक्वान्दोमा,8
4841,सुरक्षामा,8
4842,विरोधमा,8
4843,वामपन्थी,8
4844,पात्र,8
4845,व्यहोरा,8
4846,शर्त,8
4847,नरेश,8
4848,हौँ,8
4849,यथार्थ,8
4850,आत्महत्या,8
4851,सँगसँगै,8
4852,देशव्यापी,8
4853,एसपीपी,8
4854,पुष्पलाल,8
4855,कसूर,8
4856,रुपैयाँभन्दा,8
4857,अनेकन,8
4858,सूचनामा,8
4859,लुम्बिनीले,8
4860,टाउको,8
4861,लघुवित्त,8
4862,सर्वसाधारणलाई,8
4863,इन्चार्ज,8
4864,लिँदा,8
4865,वृश्चिक,8
4866,हुंदा,8
4867,तैपनि,8
4868,मकर,8
4869,धनु,8
4870,अधिक,8
4871,राष्ट्रपतिले,8
4872,मै,8
4873,उपाध्यक्षमा,8
4874,किसिमका,8
4875,२०६४,8
4876,तुला,8
4877,श्रमिकहरुको,8
4878,जानुपर्छ,8
4879,सामु,8
4880,भित्रको,8
4881,रियालिटी,8
4882,मामिलामन्त्री,8
4883,प्रतिबद्ध,8
4884,कुम्भ,8
4885,बाँड्ने,8
4886,गोविन्दप्रसाद,8
4887,कल्याण,8
4888,व्यवस्थापनको,8
4889,जितमा,8
4890,संकुचन,8
4891,बस्नु,8
4892,हुनका,8
4893,दीपककुमार,8
4894,टेलिफोन,8
4895,दलहरूलाई,8
4896,धरापमा,8
4897,राज्यका,8
4898,मीन,8
4899,जित्दा,8
4900,बजारले,8
4901,गतेबाट,8
4902,गुट,8
4903,नेपालगन्जमा,8
4904,बोलाउन,8
4905,इन्टरनेसनल,8
4906,रेड,8
4907,राखिएका,8
4908,सजग,8
4909,लिइने,8
4910,उत्साहित,8
4911,खेतीमा,8
4912,अग्लो,8
4913,चोलेन्द्र,8
4914,सम्झनामा,8
4915,डेमोक्रेटिक,8
4916,सरदर,8
4917,प्रदेशसभामा,8
4918,मन्दिरमा,8
4919,केजी,8
4920,तीव्रता,8
4921,प्रचारप्रसार,8
4922,पन्तले,8
4923,महिनापछि,8
4924,न्यू,8
4925,गाँजा,8
4926,बैंकमा,8
4927,शताब्दीको,8
4928,व्यवस्थालाई,8
4929,लोसपाका,8
4930,पर्‍यो,8
4931,मिश्रित,8
4932,प्रकारले,8
4933,जोडेको,8
4934,गुरुले,8
4935,पार्कमा,8
4936,सरकारमाथि,8
4937,कर्णालीको,8
4938,अंग्रेजी,8
4939,ट्वीट,8
4940,साँचो,8
4941,माल्दिभ्सको,8
4942,विद्यालयहरु,8
4943,निर्णयपछि,8
4944,धर्ना,8
4945,रोजगारीबाट,8
4946,वर्गको,8
4947,ठेगाना,8
4948,नपरेको,8
4949,प्रालि,8
4950,प्रकाशशरण,8
4951,खेलेका,8
4952,चाँदीको,8
4953,जयन्ती,8
4954,करका,8
4955,पुनरावलोकन,8
4956,प्रभावमा,8
4957,मकवानपुरको,8
4958,सँग,8
4959,गुणस्तर,8
4960,शिखर,8
4961,राईको,8
4962,एनआरएनए,8
4963,काठमाडौंबाट,8
4964,उत्पति,8
4965,बासिन्दालाई,8
4966,घटनाले,8
4967,योगदानको,8
4968,ब्यानरमा,8
4969,अगुवा,8
4970,राजा,8
4971,बहराइन,8
4972,सुष्मिताले,8
4973,बासिन्दाले,8
4974,अवलोकन,8
4975,बहावको,8
4976,एस,8
4977,बितेको,8
4978,भर्ने,8
4979,गेग्रान,8
4980,श्रीलंकाली,8
4981,बहिर्गमन,7
4982,क,7
4983,विकले,7
4984,उद्योगहरुको,7
4985,अज्ञात,7
4986,आवश्यकताअनुसार,7
4987,नजिकको,7
4988,प्रतिक्षामा,7
4989,आवेको,7
4990,जर्मनीमा,7
4991,प्रतिष्ठानले,7
4992,परिचय,7
4993,तर्जुमा,7
4994,कार्यदलले,7
4995,मानिसमा,7
4996,सन्तुलन,7
4997,लोकप्रियता,7
4998,नाराबाजी,7
4999,डरले,7
5000,समुदाय,7
5001,अमेरिकालाई,7
5002,लीलावती,7
5003,कहिलेकाहीँ,7
5004,मतगणना,7
5005,उपमेयरमा,7
5006,गर्नमा,7
5007,रहनेछ।,7
5008,छात्रमा,7
5009,दिएपनि,7
5010,नसके,7
5011,त्रसित,7
5012,अनुकूल,7
5013,दरबन्दी,7
5014,प्रश्नमा,7
5015,२०७३,7
5016,मिनेटको,7
5017,वातावरणीय,7
5018,सेकेण्ड,7
5019,छोरीलाई,7
5020,तथ्यलाई,7
5021,पन्त,7
5022,औंल्याएको,7
5023,स्पेनिस,7
5024,गठनको,7
5025,व्याप्त,7
5026,दुवैले,7
5027,निर्णयहरू,7
5028,निर्णयअनुसार,7
5029,प्रा,7
5030,प्रयासमा,7
5031,अभियानलाई,7
5032,पदमुक्त,7
5033,संशोधनले,7
5034,लमजुङ,7
5035,लगाउनुभयो,7
5036,विद्यालयको,7
5037,स्तरमा,7
5038,समयका,7
5039,अस्तित्वमा,7
5040,मिलेको,7
5041,पूर्वमाओवादी,7
5042,खुल्ला,7
5043,प्रक्रियालाई,7
5044,आवागमनमा,7
5045,गरोस्,7
5046,अपनाएर,7
5047,फैलन,7
5048,मनोजकुमार,7
5049,औषधी,7
5050,अपरिहार्य,7
5051,१९४८,7
5052,कामदारको,7
5053,इन्दिरा,7
5054,स्वास्थ्यमन्त्री,7
5055,तुम्बाहाङ्फेले,7
5056,प्रिन्स,7
5057,जनगणना,7
5058,मस्तिष्कमा,7
5059,प्राथमिकताको,7
5060,वर्गलाई,7
5061,मेलमिलाप,7
5062,टोकियो,7
5063,संगठनमा,7
5064,आइसोलेसनकक्षमा,7
5065,किटानी,7
5066,बताए।,7
5067,यातायातको,7
5068,सम्झौताको,7
5069,साउनमा,7
5070,आँट,7
5071,शासक,7
5072,१८७१,7
5073,निलम्बनमा,7
5074,छात्रामा,7
5075,सुत्केरी,7
5076,भित्र्याएको,7
5077,आएकी,7
5078,उहाँहरुले,7
5079,संस्कृतिको,7
5080,लागेसँगै,7
